B,G,R
51,61,89
109,117,150
110,124,147
125,131,178
94,86,147
125,134,158
102,118,149
145,157,193
116,126,167
104,115,139
120,125,147
114,118,143
125,134,171
157,166,203
83,84,139
100,106,145
142,149,173
150,154,187
120,130,151
142,145,167
127,129,175
124,132,165
119,122,157
148,155,185
162,169,206
129,132,167
129,133,166
135,146,178
67,69,79
112,123,155
135,137,181
132,135,170
136,141,184
130,133,175
44,44,45
145,156,194
123,131,164
155,166,204
125,130,146
136,143,180
119,127,155
107,119,148
162,163,203
123,133,167
123,131,157
120,129,166
147,159,195
129,135,168
147,155,183
111,124,149
112,103,161
133,141,167
113,111,154
130,143,175
121,130,154
153,163,197
124,134,162
102,105,70
69,79,94
145,149,180
126,119,171
110,118,146
107,115,148
118,131,156
131,138,168
124,131,155
150,162,196
109,118,135
135,142,172
152,155,190
143,151,185
141,146,175
55,51,64
112,124,152
126,128,172
102,106,145
148,157,194
60,62,72
74,63,147
49,46,55
59,56,65
111,115,154
53,52,66
45,44,57
152,164,200
149,161,195
140,147,184
158,167,204
152,163,201
92,99,121
112,112,150
157,166,203
131,138,175
135,140,169
129,134,171
128,136,170
125,133,159
125,128,163
115,116,164
102,109,139
155,167,203
138,146,174
146,151,188
129,141,162
144,149,186
160,160,198
115,126,158
152,165,203
97,118,146
73,86,118
115,119,150
152,160,193
147,147,198
160,164,210
105,119,148
144,150,183
121,127,166
140,142,180
103,118,143
164,173,210
123,130,160
157,166,203
118,114,163
111,127,143
138,127,184
113,130,150
122,138,167
157,166,203
139,144,181
139,148,178
134,143,167
119,127,161
121,128,150
140,147,177
92,96,135
133,145,173
108,119,143
106,118,146
164,165,207
153,161,195
42,45,59
157,168,206
111,117,163
128,141,166
130,135,178
141,147,180
67,59,107
124,134,162
92,104,133
107,117,158
108,116,149
104,115,140
134,137,185
125,137,166
121,132,157
151,162,200
84,92,118
114,124,152
130,137,174
94,99,136
33,35,40
114,120,153
118,124,171
122,134,163
154,166,202
125,138,157
94,106,135
134,146,175
117,132,152
160,169,206
96,102,122
111,125,154
124,134,155
138,148,176
134,138,177
96,111,144
136,143,180
113,119,152
154,163,201
97,101,140
158,170,206
118,132,155
139,149,177
101,104,112
135,146,171
84,91,113
133,138,175
119,118,137
111,118,134
108,124,153
156,155,202
140,147,177
100,113,132
119,131,146
106,114,134
65,67,85
72,79,103
147,155,189
114,121,145
119,125,172
128,130,174
119,124,167
115,123,149
141,150,180
53,58,80
163,173,207
167,175,209
42,39,48
140,146,179
124,132,160
128,138,172
148,159,191
143,159,196
130,136,169
123,135,169
110,125,152
42,45,59
153,153,197
141,149,175
120,129,146
157,171,207
113,120,136
132,147,174
43,40,59
110,117,154
146,154,188
138,144,170
113,124,148
128,142,171
123,127,173
120,134,163
157,169,205
145,149,180
166,164,207
76,78,88
120,126,152
136,148,176
116,124,157
159,168,205
112,127,152
64,68,86
54,56,68
146,158,194
136,139,174
94,113,141
147,158,190
152,164,200
160,169,206
141,146,183
74,82,129
124,133,163
139,146,168
129,141,170
152,163,201
159,168,206
159,168,205
124,135,159
126,129,171
150,158,192
91,98,135
133,136,184
132,144,173
126,133,170
127,135,161
100,101,143
125,130,173
106,115,139
110,120,148
119,128,158
139,144,181
128,139,163
149,153,192
120,125,167
140,149,186
109,117,150
134,135,169
118,124,163
91,106,133
50,54,66
133,144,168
116,119,161
140,148,182
138,149,174
142,146,177
149,160,198
102,104,114
113,124,149
124,129,171
163,164,206
52,57,79
65,72,81
122,129,151
166,171,206
141,144,179
77,79,84
109,117,145
65,71,78
152,161,198
111,117,156
166,167,209
106,92,171
128,133,149
104,109,146
109,122,147
122,133,158
114,126,155
160,169,207
121,129,157
140,146,185
152,165,205
66,69,77
115,112,114
112,118,138
139,145,171
126,129,177
142,145,187
138,142,167
117,119,165
104,115,139
151,163,197
123,137,166
119,125,158
152,161,198
160,172,208
108,111,133
128,135,172
114,124,145
128,135,165
40,34,75
100,100,100
143,147,186
131,135,174
159,171,207
145,154,191
99,111,140
125,133,167
133,141,167
144,152,186
121,114,166
123,134,159
154,162,196
125,133,174
124,129,151
120,135,162
111,120,163
107,120,145
57,57,67
145,161,197
119,118,165
64,69,72
91,100,138
110,111,153
168,168,206
148,157,195
119,123,148
158,167,204
69,73,91
119,136,163
107,118,143
126,131,166
156,160,199
127,140,165
151,162,200
134,142,170
60,67,91
113,118,140
127,139,167
160,168,209
123,130,154
147,150,192
126,129,177
120,128,156
125,135,169
146,159,191
116,120,151
132,133,181
142,145,187
49,48,62
116,125,142
132,132,176
137,142,185
115,125,140
139,154,181
86,94,120
146,154,187
161,170,207
132,139,169
118,120,138
115,125,159
125,133,161
155,158,193
135,151,182
113,126,151
131,132,172
157,171,207
163,166,201
119,127,147
156,166,200
112,122,150
112,110,159
153,162,199
102,96,152
120,132,160
119,129,150
135,122,179
110,121,145
138,151,183
151,162,200
120,128,156
100,112,141
53,57,82
131,137,176
108,119,136
157,166,203
136,143,173
115,127,142
146,150,175
153,166,198
134,139,176
112,123,148
142,151,189
119,127,155
100,108,142
149,164,197
135,146,178
139,130,188
121,131,146
107,119,148
109,121,149
133,136,165
122,129,151
53,48,63
109,121,150
129,142,167
132,142,163
153,162,199
114,122,148
172,169,209
78,79,93
133,134,182
108,114,147
146,151,194
105,110,126
99,102,124
143,148,170
38,37,41
115,128,160
149,163,199
106,111,153
122,129,151
122,125,160
154,168,204
147,155,189
122,131,148
162,164,208
140,143,185
163,171,205
117,125,153
129,133,172
130,135,172
103,110,134
40,37,56
173,171,214
148,150,181
161,170,207
120,117,170
153,165,201
133,144,169
129,135,174
101,115,138
148,158,186
118,123,160
43,46,68
116,126,134
127,142,162
44,43,47
126,130,176
124,133,178
62,70,98
115,130,155
89,97,117
105,116,135
119,120,168
144,149,186
64,62,55
52,54,64
97,101,113
113,121,155
107,120,152
143,147,186
124,125,173
154,161,198
93,100,122
161,169,210
141,150,180
145,153,187
84,87,71
145,157,193
143,148,190
119,124,166
139,144,186
138,145,182
136,137,185
90,93,85
126,134,167
124,130,143
140,148,176
112,132,150
149,162,200
96,101,138
145,136,201
138,142,175
135,145,173
122,132,160
137,135,184
121,129,155
149,152,187
121,119,168
96,102,141
149,162,202
125,128,170
163,172,209
93,99,119
76,69,127
41,34,86
130,128,171
101,108,132
136,139,181
133,145,173
110,121,153
152,164,200
131,137,176
134,140,160
110,118,152
111,100,171
148,162,198
160,169,206
122,136,165
162,171,208
119,126,148
112,123,148
110,125,150
154,167,205
91,89,140
86,94,135
107,113,126
145,150,187
158,170,206
87,93,119
53,50,60
171,170,210
63,68,84
136,138,184
112,128,159
65,67,85
122,130,150
116,123,147
119,132,164
110,121,145
152,164,200
125,134,172
140,144,175
131,137,170
158,161,196
128,134,167
146,150,181
79,78,82
140,145,182
90,105,138
126,133,163
118,127,164
164,166,210
121,130,160
46,48,58
122,125,173
116,127,151
122,135,160
96,110,146
138,148,176
136,139,161
108,120,148
121,136,163
130,131,179
149,162,200
126,140,169
152,155,190
164,174,208
138,143,185
140,145,182
128,133,170
113,121,147
150,158,191
129,131,169
144,149,192
119,126,143
136,147,172
122,128,167
121,131,159
124,128,174
133,133,171
138,143,178
103,121,152
145,153,186
144,149,186
47,53,66
106,109,151
127,139,167
115,123,164
128,136,164
117,129,144
112,122,135
107,118,129
117,126,143
135,143,177
121,124,166
112,122,137
150,163,201
124,135,154
35,32,72
149,162,200
131,135,181
152,164,200
150,155,192
149,160,198
120,129,159
106,118,152
128,128,179
126,132,171
77,78,112
112,116,149
153,159,192
128,136,164
126,137,161
106,123,143
125,128,176
128,128,172
107,120,132
116,131,151
101,115,144
108,103,155
160,163,198
137,147,175
124,129,172
158,167,204
121,133,148
119,123,154
143,151,185
104,110,123
135,147,175
151,160,197
117,128,152
144,151,188
115,126,151
121,134,166
94,106,142
87,95,121
135,139,178
108,119,144
118,128,169
111,123,151
129,143,172
125,135,163
117,121,160
155,164,202
46,43,52
104,107,121
159,168,205
110,122,158
104,111,120
154,166,200
145,154,191
98,106,140
139,143,182
136,134,177
108,116,144
167,167,205
144,154,188
132,131,178
166,167,209
132,140,174
96,103,140
132,137,172
152,163,201
123,134,159
165,174,211
131,146,173
113,99,179
144,144,195
154,163,200
116,120,74
148,159,197
107,107,158
77,82,124
110,123,148
147,156,193
150,163,203
95,95,105
121,130,167
114,111,113
46,40,58
131,134,169
113,122,146
45,44,58
141,153,182
112,119,136
139,147,175
124,132,158
117,130,155
159,168,206
124,127,175
128,133,175
92,98,137
147,158,190
136,143,186
111,115,161
131,136,165
132,131,178
107,118,150
152,161,199
119,122,164
98,112,154
145,153,187
99,103,142
126,136,157
126,141,161
149,158,195
120,130,151
109,118,129
121,129,157
161,170,208
122,125,160
113,125,154
105,115,143
118,126,133
125,136,168
129,136,173
136,142,168
91,94,108
35,36,44
99,105,117
111,119,145
117,125,151
126,138,166
54,65,90
114,126,147
109,116,132
110,125,145
111,121,155
152,165,203
128,141,166
160,169,206
126,139,164
117,122,159
111,117,137
99,112,144
157,166,203
151,163,199
48,45,54
121,133,154
158,167,204
106,119,144
102,117,136
105,119,148
89,96,126
153,156,198
126,134,160
155,169,205
128,132,163
142,150,183
166,166,210
122,130,150
138,146,172
121,130,160
118,126,152
110,118,144
141,149,177
