B,G,R
179,176,216
139,140,188
151,155,201
146,145,200
141,149,196
143,150,193
158,152,201
134,142,183
169,167,211
173,174,214
141,142,182
158,158,196
151,152,200
166,168,214
64,69,91
183,185,223
156,160,206
142,140,189
157,159,203
142,143,177
158,158,202
166,164,207
142,146,179
160,160,198
129,131,169
115,118,147
89,95,128
139,145,184
169,166,205
152,156,195
92,95,137
126,128,166
75,72,81
141,147,186
124,131,168
143,144,192
129,138,176
159,161,199
161,163,207
145,150,185
155,156,204
103,109,148
141,148,191
116,118,149
163,162,202
40,45,61
154,160,206
158,159,207
138,141,170
145,149,188
162,161,201
161,157,206
158,156,205
143,145,196
131,137,170
167,165,209
175,173,216
143,142,195
144,143,190
132,135,177
114,119,161
146,152,198
162,166,212
46,46,63
148,151,193
139,144,187
52,58,84
145,152,195
121,123,161
157,162,205
149,154,204
187,183,219
136,137,177
165,166,214
139,144,181
141,140,187
139,141,179
173,174,214
137,137,181
151,151,195
102,107,149
161,163,209
143,146,194
124,128,167
144,150,197
128,135,178
142,147,184
133,139,185
174,166,207
146,152,198
138,136,179
140,147,190
156,155,189
117,126,164
167,165,209
163,164,212
164,168,214
161,164,212
141,146,196
138,143,186
148,153,203
159,165,212
156,154,203
144,149,192
131,132,172
57,63,89
144,144,195
168,164,207
172,175,217
145,145,196
165,166,214
103,106,135
133,136,178
94,101,131
159,160,200
159,159,210
151,154,202
143,152,190
144,147,195
150,149,196
141,144,192
105,114,152
129,136,179
146,144,195
172,172,216
88,96,116
148,153,196
142,140,189
141,139,190
106,107,141
110,116,142
152,152,196
142,145,193
146,152,198
142,151,189
166,162,211
145,143,194
132,134,178
163,162,196
172,167,212
163,162,196
164,165,205
69,77,103
154,157,205
163,165,211
169,164,209
124,126,164
154,163,206
97,101,132
133,136,178
132,137,174
144,142,191
143,144,192
55,58,87
148,154,201
139,140,188
136,138,182
120,121,155
143,150,200
139,144,186
180,180,218
152,152,203
150,154,193
178,180,218
133,135,179
161,165,204
147,153,199
148,152,198
170,163,208
146,153,196
141,145,191
139,142,190
156,161,204
145,151,197
162,161,201
156,158,204
47,50,72
168,166,210
113,117,148
122,126,157
150,152,203
145,149,182
137,142,185
154,157,199
145,151,198
58,62,74
146,144,193
149,150,192
152,157,200
149,153,199
166,166,210
143,143,194
159,158,198
156,154,203
159,160,200
154,149,181
159,155,204
138,142,175
147,150,192
138,143,186
147,148,188
165,161,210
157,157,208
33,37,63
135,144,182
180,177,216
156,158,209
145,144,199
158,162,201
138,140,184
149,147,196
165,168,216
153,156,198
147,145,194
139,141,179
96,103,133
152,153,201
130,132,170
152,153,201
180,177,217
162,158,207
135,140,183
162,166,205
153,153,197
141,146,189
148,151,199
128,126,162
155,155,199
152,150,199
161,162,210
104,107,149
141,146,196
178,180,218
150,149,202
122,123,165
139,138,185
50,55,64
158,163,206
41,50,80
158,156,207
140,145,195
163,164,212
151,155,194
156,159,194
169,172,214
167,169,213
148,151,193
158,163,200
155,158,213
140,142,186
165,164,211
45,44,48
160,155,200
151,155,188
152,156,195
140,142,186
181,178,217
156,159,194
122,124,162
179,179,217
173,179,218
164,166,204
152,158,205
161,166,209
139,141,185
182,184,222
162,163,211
137,142,185
144,149,192
156,156,207
163,167,213
134,136,180
170,166,209
160,158,209
148,146,195
139,144,187
144,146,197
166,171,214
168,167,207
165,166,208
53,54,68
145,152,189
153,156,204
149,148,201
146,144,193
151,152,192
146,148,199
167,165,209
139,141,192
125,128,163
137,142,179
142,144,195
166,166,210
163,165,211
144,144,195
65,76,101
142,146,185
119,119,157
135,143,177
140,140,184
96,100,133
156,154,205
152,154,205
137,138,186
144,142,191
177,176,216
147,152,202
144,142,191
168,170,214
170,168,212
162,167,210
146,151,201
127,130,165
181,177,213
144,143,190
141,141,179
142,142,193
65,78,116
140,145,195
159,160,200
169,165,208
149,150,192
142,143,191
148,146,197
144,149,191
35,39,57
141,145,184
173,171,214
161,163,207
160,160,198
167,163,212
139,140,188
145,151,197
52,59,75
151,155,201
147,154,204
151,150,203
163,165,209
173,171,215
144,143,190
129,130,170
157,160,208
147,145,194
138,143,186
154,154,205
150,152,196
149,152,200
135,142,185
150,154,187
165,158,203
119,124,161
90,94,127
127,132,169
143,140,172
160,166,213
147,150,198
155,157,208
129,130,170
153,155,201
47,47,77
148,152,185
144,142,193
127,129,167
169,169,213
169,167,211
139,140,188
166,167,209
180,182,220
149,154,197
179,183,222
170,173,215
155,154,209
171,169,212
156,162,209
163,159,208
121,130,167
148,154,201
147,155,189
157,155,199
133,142,180
62,73,105
179,179,217
160,160,211
172,168,211
165,165,203
144,149,192
94,102,136
108,112,151
100,102,140
158,160,206
165,163,212
157,160,208
143,153,194
122,126,159
131,132,172
146,154,201
147,143,199
156,156,207
166,167,215
151,150,203
140,138,181
155,161,200
141,150,188
45,54,84
176,180,219
151,156,199
143,150,187
152,150,199
142,151,194
166,171,213
166,164,208
152,158,191
180,180,218
166,169,211
155,157,208
155,158,206
168,174,213
141,145,184
157,160,208
154,160,207
157,162,212
137,135,179
125,133,174
177,178,220
154,159,202
