B,G,R
162,155,186
74,74,84
162,156,197
157,157,208
114,114,158
143,141,177
149,150,177
161,160,200
175,167,215
173,166,205
151,149,179
146,142,164
165,155,201
173,160,200
141,142,163
176,166,207
169,161,202
190,176,218
127,124,158
180,169,213
165,161,204
150,146,176
180,170,211
182,175,214
120,124,150
140,139,153
188,178,218
179,172,209
184,173,217
165,160,199
168,158,198
161,161,212
160,155,207
190,176,218
172,165,210
183,173,219
163,164,204
176,166,206
160,161,196
164,161,195
180,168,214
156,149,194
141,138,148
135,132,151
158,154,190
181,171,217
82,77,92
184,171,220
185,175,216
94,98,129
186,173,213
85,84,97
120,116,129
152,149,189
152,144,162
148,142,191
156,150,185
146,143,183
117,114,110
186,171,216
169,165,208
187,177,218
179,169,210
185,174,218
127,118,146
175,167,215
185,170,215
185,170,216
154,144,175
194,181,221
135,132,171
118,117,151
161,157,193
165,169,208
184,169,215
191,178,218
187,173,215
181,169,205
71,70,89
147,148,175
175,168,200
160,153,192
116,114,144
156,151,190
181,171,212
183,172,216
181,173,214
97,98,112
124,122,145
161,162,197
148,148,178
163,155,190
176,166,212
131,127,149
125,125,135
165,165,203
178,170,211
162,155,187
139,130,152
162,162,200
160,156,199
46,45,58
76,68,79
158,153,206
173,168,207
192,177,223
145,146,180
45,40,55
181,168,217
113,117,135
81,75,93
182,171,221
134,121,140
139,135,148
161,162,197
163,159,195
148,143,169
183,172,216
166,162,211
149,143,162
166,161,206
161,161,199
166,161,193
162,159,199
141,141,164
181,171,211
193,178,224
155,156,190
184,174,222
141,138,172
184,174,214
160,161,196
108,112,138
82,80,86
169,163,204
140,140,178
168,167,207
184,174,214
154,148,189
150,147,187
187,177,218
137,128,156
152,153,188
184,172,218
175,165,213
175,172,212
148,148,173
156,149,180
159,158,192
106,109,138
175,165,213
136,125,145
172,162,202
178,168,214
195,180,225
187,175,221
186,173,222
181,172,209
164,156,191
158,148,188
163,161,191
186,176,217
192,175,226
159,156,195
175,169,210
181,171,212
176,166,206
164,157,196
154,149,188
170,163,202
160,157,191
176,166,207
160,162,200
164,159,198
165,162,196
94,91,95
190,176,218
131,128,162
100,95,97
175,167,208
169,160,197
167,160,205
150,151,178
162,155,186
175,166,210
170,165,204
169,164,209
146,145,164
180,170,211
163,159,202
143,143,181
186,171,217
177,164,213
178,168,209
177,172,211
159,154,212
173,163,209
172,165,197
174,167,212
112,109,141
146,150,183
66,65,78
190,177,226
193,178,224
174,170,206
87,82,97
178,168,208
160,155,194
193,178,224
189,175,228
106,99,136
158,152,187
186,176,224
154,147,186
189,176,225
165,159,200
155,153,196
152,145,184
185,175,216
191,176,221
162,151,201
177,169,210
174,165,202
188,175,224
170,161,205
178,171,210
159,156,195
179,169,209
194,182,219
159,154,193
131,127,157
178,168,209
183,171,217
111,106,138
151,152,186
133,132,172
154,150,172
167,161,202
85,83,113
91,88,120
181,171,212
145,135,159
154,153,187
193,178,224
166,161,200
79,77,83
194,179,224
136,133,167
145,142,176
180,170,211
156,152,195
166,161,193
163,159,202
187,177,217
165,161,197
153,156,191
170,157,197
170,164,205
167,159,207
163,156,188
164,159,191
181,171,212
152,146,181
144,143,177
163,160,194
188,172,221
174,166,207
191,175,224
186,171,217
180,171,215
157,156,196
175,165,213
148,145,184
140,139,153
164,161,195
160,153,185
132,126,145
176,166,214
172,167,206
179,169,215
83,79,92
85,88,104
165,159,200
183,173,214
159,156,196
179,170,214
180,170,216
159,153,196
159,163,196
151,154,183
172,165,197
138,141,163
78,74,87
133,130,169
181,169,215
160,162,200
160,161,195
96,89,111
165,158,197
187,173,215
126,123,162
89,84,99
186,176,216
176,163,203
143,139,175
156,152,195
150,148,191
146,140,181
168,160,195
77,74,76
121,118,158
163,158,210
165,160,186
165,159,200
188,171,222
81,80,93
160,162,193
146,140,181
154,157,186
164,161,193
143,143,173
191,176,222
151,146,191
126,126,143
153,156,191
143,138,164
84,91,121
147,148,175
139,135,148
188,178,219
173,171,194
184,173,217
63,59,89
172,164,205
184,169,215
143,141,164
159,161,199
140,137,171
159,160,194
89,88,101
151,149,192
169,160,188
181,169,215
134,125,147
150,147,186
161,163,201
154,147,186
171,167,197
178,171,216
159,151,186
177,166,199
48,48,49
69,68,87
163,160,194
130,127,166
192,176,225
127,115,138
165,167,198
58,62,87
165,166,208
152,155,184
159,158,171
90,87,97
115,112,146
168,165,197
164,153,197
163,165,196
187,172,218
173,166,211
168,164,194
130,128,158
154,149,188
161,156,188
184,174,215
143,140,179
172,166,201
167,160,191
157,150,182
55,51,64
192,177,223
178,168,208
117,106,126
158,149,186
191,177,219
155,151,181
157,152,191
168,158,189
158,152,180
107,105,128
172,165,204
192,177,223
173,164,208
177,165,211
100,102,133
159,158,205
156,159,188
149,142,181
167,164,204
177,167,198
192,179,219
163,156,188
142,138,181
172,162,208
147,145,162
158,155,189
127,124,163
176,166,207
181,171,211
141,141,164
167,166,206
179,169,210
190,176,218
179,172,209
176,166,212
159,154,193
162,160,196
162,155,194
166,160,203
179,171,212
170,165,210
168,165,204
167,161,189
179,170,214
195,183,220
169,156,206
183,174,218
160,158,209
191,177,219
184,174,214
171,159,196
168,156,192
160,161,201
49,45,58
157,159,184
166,161,200
116,116,146
189,175,217
162,160,196
183,174,218
153,146,185
160,157,197
185,171,213
97,102,131
167,166,206
160,161,195
167,165,201
161,161,184
166,157,201
148,145,185
162,161,195
97,91,110
178,168,208
111,115,141
163,155,190
181,169,215
172,163,200
152,150,180
142,142,152
168,163,202
175,170,209
183,173,219
102,101,114
176,169,208
154,153,172
175,167,202
139,129,153
143,143,153
132,129,168
185,173,209
155,152,186
157,153,196
169,170,205
180,170,211
181,171,217
168,164,194
163,162,181
173,164,208
179,172,209
173,167,202
151,149,185
188,173,218
137,132,185
165,155,195
187,176,220
176,166,212
183,173,214
59,58,72
175,165,206
113,118,147
149,150,185
144,137,174
169,166,206
104,101,135
178,170,211
180,169,213
165,154,204
178,168,209
91,90,104
173,164,208
158,158,196
182,172,213
194,181,221
153,149,179
165,161,197
163,164,204
134,130,166
189,174,220
136,131,176
181,171,219
158,157,204
158,153,192
181,174,206
185,173,219
153,148,187
55,52,62
140,137,176
181,172,216
150,147,186
170,169,196
154,149,175
163,156,188
83,86,108
156,149,188
83,84,118
148,142,183
159,154,193
174,168,209
155,154,188
158,155,189
161,161,199
178,168,214
170,166,194
47,48,62
185,172,212
150,144,179
184,174,220
148,142,190
166,163,203
180,167,216
180,170,216
190,177,217
163,160,199
183,173,219
140,137,176
153,149,177
148,141,180
181,171,217
170,167,214
160,159,206
175,169,212
156,149,180
144,143,164
155,151,187
96,95,135
152,147,186
153,155,180
159,155,183
168,171,206
159,152,191
180,167,207
95,96,130
178,168,208
181,172,216
176,166,206
183,174,218
132,126,154
187,177,218
179,169,210
95,94,134
165,157,192
135,126,183
129,124,163
184,174,220
184,172,209
152,143,171
152,151,185
137,140,169
135,135,145
175,164,208
132,127,166
130,121,148
162,154,189
158,153,179
179,169,215
170,164,207
90,86,99
182,169,218
180,171,221
98,100,105
191,176,222
159,155,191
161,159,189
125,120,159
164,161,200
192,179,219
74,68,79
178,168,216
168,165,212
167,162,194
171,165,200
178,168,214
177,169,210
170,160,201
53,54,68
142,137,176
177,171,206
170,162,203
179,169,215
151,145,180
179,170,207
171,159,205
186,170,219
181,169,215
159,150,187
171,159,195
140,137,171
190,180,220
171,161,209
167,158,202
164,155,192
162,158,188
148,148,173
160,155,194
151,149,192
142,138,161
