B,G,R
110,109,136
96,91,117
41,47,52
104,108,147
145,151,198
131,137,170
164,166,204
126,131,173
129,135,168
144,150,197
132,137,172
85,90,119
104,105,132
138,146,187
112,116,142
169,167,211
149,151,202
132,139,182
159,157,206
137,142,179
179,179,217
149,152,194
64,69,85
135,142,179
154,155,203
125,131,164
124,128,159
115,114,148
91,95,128
139,144,179
145,148,196
143,149,195
145,151,198
87,96,147
138,145,188
124,126,151
129,137,171
143,145,197
158,160,204
125,129,160
122,121,155
42,48,55
161,165,204
136,142,189
145,147,198
155,157,195
39,42,50
82,85,127
123,128,157
121,130,168
100,99,126
139,140,188
123,125,163
132,140,181
123,133,174
47,50,58
141,142,176
123,126,161
147,153,205
120,125,154
181,181,219
158,160,211
52,58,84
163,160,194
164,166,212
130,136,169
153,145,199
155,156,204
52,54,66
153,153,197
46,46,47
133,136,178
147,153,200
99,103,136
145,149,195
133,134,168
60,64,90
111,119,153
147,149,193
126,127,169
181,181,219
159,163,202
139,137,154
149,149,200
144,146,197
87,95,136
80,85,122
136,140,179
112,108,138
115,125,159
143,146,188
136,141,183
139,144,187
53,54,68
162,163,211
120,114,142
161,163,214
164,164,208
145,151,197
109,105,133
131,137,176
129,129,167
141,147,194
148,147,181
95,99,132
141,142,182
144,149,191
166,164,213
134,140,173
105,103,126
173,168,207
165,164,211
74,71,90
147,151,197
170,166,209
49,52,60
144,148,179
147,146,180
159,157,206
83,89,128
127,130,165
124,125,167
149,143,162
128,129,169
134,137,179
148,154,201
127,131,162
138,142,188
155,156,198
158,156,207
134,141,184
91,103,139
150,156,203
94,90,112
141,142,182
130,136,169
133,139,178
141,148,191
126,131,168
140,148,189
135,137,175
141,148,185
137,144,181
170,166,209
122,124,162
142,152,193
126,128,166
131,138,175
112,117,152
130,137,167
138,140,184
153,151,200
161,163,209
139,137,181
141,144,179
147,153,200
114,122,156
159,164,201
134,139,176
128,136,169
181,178,217
154,158,197
166,164,208
160,164,210
154,155,203
71,80,117
145,150,193
92,97,132
139,143,189
137,142,177
178,182,221
161,164,212
133,141,188
151,157,204
156,158,210
75,82,112
173,171,215
38,42,54
119,120,154
95,100,137
172,168,211
91,100,83
149,154,204
110,113,148
41,45,70
123,129,155
105,110,145
157,160,208
122,130,171
128,133,168
136,141,176
49,60,92
41,43,53
163,162,202
48,52,77
133,138,173
127,131,170
127,131,170
167,172,215
124,128,161
97,102,139
129,131,175
153,153,204
139,145,191
117,119,157
78,78,103
148,147,200
112,113,148
126,132,165
45,44,48
177,177,215
122,130,163
105,110,132
134,136,182
143,137,156
99,103,129
158,160,211
146,153,196
131,139,172
135,135,179
139,141,185
39,39,40
135,135,160
149,154,197
94,94,125
107,108,142
139,144,187
170,166,209
180,182,220
155,156,204
81,89,117
165,169,208
120,125,154
155,161,208
169,166,205
165,163,207
109,112,147
134,138,177
162,162,200
146,152,191
44,47,61
142,146,172
155,156,204
135,141,187
140,146,185
134,136,180
115,112,144
90,94,119
148,157,200
132,138,185
169,172,214
130,136,169
128,133,170
133,140,177
126,131,173
120,125,162
124,125,159
137,146,191
36,39,47
138,143,185
139,138,185
140,147,190
142,148,195
136,141,183
141,148,191
158,156,192
47,50,64
122,128,167
135,144,182
125,132,169
164,166,204
182,182,220
155,151,187
126,131,166
118,118,149
126,127,154
185,185,223
148,147,200
52,60,86
111,108,140
122,107,169
110,115,144
138,144,191
173,171,214
97,101,119
148,151,199
132,140,181
151,147,183
152,150,199
141,143,187
134,142,176
126,133,170
142,148,187
158,159,207
137,139,185
132,136,175
154,160,207
162,167,210
99,102,124
43,49,61
103,102,129
131,136,171
129,134,171
125,120,172
36,39,47
178,179,219
134,137,179
107,110,139
131,127,157
162,164,210
151,149,200
39,46,55
143,146,188
142,152,193
126,125,144
43,49,62
140,147,184
57,68,87
123,130,160
73,82,120
132,137,174
152,157,199
130,139,177
142,143,191
140,149,187
137,142,185
146,151,201
141,146,196
116,113,145
163,163,201
133,141,174
124,130,163
115,124,162
129,137,171
163,164,212
111,112,139
103,109,142
106,109,138
132,137,174
154,158,204
139,145,191
170,166,209
132,139,182
143,143,194
111,109,139
130,134,173
123,125,150
158,156,207
152,153,201
129,133,172
137,143,182
125,130,165
102,96,115
135,143,177
159,156,209
138,142,181
59,62,84
136,142,181
165,163,212
118,121,150
130,137,174
159,160,194
145,150,193
127,132,175
139,141,187
114,113,140
112,115,150
140,147,190
46,48,52
90,97,134
135,141,180
109,113,146
136,141,184
123,125,156
136,141,178
113,121,162
91,97,136
131,138,181
143,149,188
139,144,194
138,140,184
130,138,172
43,48,57
85,83,113
151,149,200
127,132,169
156,160,212
139,147,188
124,128,167
148,152,198
146,151,201
74,84,125
42,46,58
88,94,114
159,161,212
157,160,208
144,149,192
155,145,176
160,161,209
111,121,162
113,118,155
156,160,193
140,144,190
167,172,215
138,136,180
163,161,212
149,154,204
89,98,136
145,150,192
92,103,141
97,98,119
123,128,171
142,143,191
135,140,183
129,130,157
117,111,130
84,87,122
95,102,119
132,135,177
158,153,198
129,135,168
148,150,194
144,145,193
114,118,151
115,121,147
142,143,191
100,104,137
167,170,212
164,162,211
134,138,177
141,148,191
126,131,168
100,105,134
132,133,175
127,134,177
135,131,153
170,163,208
169,166,205
121,129,170
129,137,170
104,107,142
124,130,169
133,127,145
115,116,150
123,127,158
143,146,188
126,134,168
83,87,113
116,120,146
146,153,196
125,132,169
145,148,196
140,141,168
144,149,191
137,139,183
112,106,134
127,136,174
127,135,176
123,132,162
129,130,170
145,143,192
35,37,42
37,39,44
133,133,163
140,140,170
112,113,134
170,173,215
130,131,171
151,148,201
154,150,186
108,109,143
129,130,170
180,180,218
144,142,193
149,148,182
152,155,190
138,131,162
139,144,187
149,151,197
110,118,146
139,138,185
160,165,208
153,159,205
115,118,140
143,145,196
36,42,55
138,146,193
131,136,173
121,127,160
122,127,162
114,121,158
161,167,213
149,153,199
117,116,150
122,132,173
132,139,176
139,149,190
126,126,156
158,156,207
128,132,163
156,158,210
141,143,189
83,91,125
165,169,208
103,104,125
117,118,152
150,148,199
143,143,187
159,161,205
145,153,194
155,159,192
125,132,162
145,144,197
175,178,220
124,132,173
142,147,184
133,139,178
154,159,202
135,138,173
143,144,192
178,177,217
58,64,90
148,153,203
182,182,220
122,128,161
61,64,80
166,167,215
73,81,115
107,109,147
138,143,185
178,178,216
130,135,164
110,113,142
126,127,167
103,103,141
136,140,173
74,77,106
41,42,50
127,132,169
125,126,161
134,139,174
153,153,204
98,100,131
150,156,202
120,126,159
128,136,183
144,151,201
127,129,160
166,171,214
143,152,197
157,159,210
114,115,142
158,164,211
105,108,137
143,148,191
130,136,169
110,114,139
153,159,206
139,141,185
138,144,191
158,160,206
165,163,212
137,141,187
143,146,194
96,106,155
125,130,165
134,143,181
124,130,163
139,145,184
148,151,199
129,130,157
118,124,157
156,155,208
118,122,155
127,137,178
43,40,44
149,155,194
145,149,195
135,141,187
127,134,164
134,140,186
148,150,196
176,174,217
42,46,58
146,148,199
90,94,125
146,156,197
130,136,169
106,110,141
90,91,126
128,131,166
149,154,197
151,155,188
131,138,181
167,170,218
137,127,173
109,109,139
149,146,199
148,149,197
143,147,186
126,122,145
171,173,217
77,74,100
81,83,121
126,128,166
127,124,163
112,116,142
131,134,176
134,139,174
180,182,220
140,148,189
140,139,186
120,121,148
159,159,197
169,168,215
44,47,48
144,149,192
146,149,197
141,148,198
90,97,127
69,76,100
150,153,201
163,164,212
66,70,95
139,148,186
122,126,157
131,138,181
130,137,174
101,105,131
147,153,186
175,173,217
143,143,194
121,126,161
122,130,163
131,140,183
127,132,161
124,133,163
129,133,172
164,158,207
122,130,164
142,144,182
134,142,176
142,148,194
133,142,179
142,143,191
148,147,202
164,164,208
107,103,152
163,159,208
162,160,209
114,125,157
164,168,214
133,138,180
63,68,97
163,163,194
120,122,153
108,107,141
161,163,201
33,38,47
115,118,153
36,38,43
160,162,208
94,101,144
170,164,205
125,132,162
146,149,197
133,140,183
171,165,206
179,181,219
135,139,178
145,150,200
131,135,174
127,135,163
82,86,119
121,120,147
130,132,170
105,99,148
140,142,186
131,140,178
131,139,173
146,153,196
178,183,220
177,178,218
133,137,176
163,165,203
126,130,163
121,122,156
