B,G,R
122,116,135
185,175,216
142,142,165
174,168,211
110,104,132
157,155,191
96,89,128
115,96,154
172,165,217
139,142,171
177,163,205
130,118,155
96,87,109
124,115,137
144,143,183
145,137,185
90,86,99
190,176,218
131,127,150
90,82,100
47,41,39
130,127,166
62,56,54
96,68,140
103,102,115
164,158,206
154,148,176
62,51,58
74,68,86
101,93,117
161,155,196
153,147,188
131,123,158
106,98,146
157,152,184
129,127,157
59,53,58
135,131,161
140,136,166
126,116,140
176,163,213
146,136,160
76,74,97
71,65,84
44,40,40
182,164,218
136,128,146
86,82,112
173,167,210
94,88,101
177,169,217
136,124,155
184,175,225
162,155,186
176,166,212
144,139,165
127,125,174
63,58,67
83,83,108
157,151,179
168,161,206
114,105,125
136,129,160
83,74,96
183,172,222
172,166,201
152,150,173
96,91,100
47,47,48
63,59,59
157,152,204
137,124,144
59,56,65
78,75,85
175,163,199
156,150,191
180,173,218
104,96,114
141,138,157
145,118,192
68,63,78
169,167,203
87,83,89
68,63,78
104,94,135
166,167,209
121,114,145
80,70,124
100,91,119
173,165,206
162,155,194
78,75,94
117,113,141
45,44,65
141,138,172
178,168,209
137,133,176
162,156,204
178,168,209
188,178,224
133,132,153
56,52,52
52,51,65
161,157,180
84,79,88
169,164,203
186,173,222
160,161,196
101,91,107
161,156,208
119,119,149
130,126,149
163,157,200
137,126,176
159,150,178
129,123,158
175,167,208
69,60,80
167,157,205
85,76,43
149,142,181
163,162,209
168,161,206
142,141,154
164,152,205
149,146,186
90,83,90
136,131,163
167,157,203
63,60,69
138,131,162
156,149,201
162,159,198
165,157,211
98,88,112
123,123,140
63,55,79
148,151,186
140,136,149
178,168,209
163,154,182
62,58,56
86,81,96
144,123,186
137,133,163
74,68,87
148,139,167
68,62,75
141,138,147
91,90,94
52,44,42
108,99,126
103,103,120
178,173,199
176,166,212
174,167,212
97,91,110
137,133,161
146,136,190
145,137,172
162,152,192
147,147,178
143,138,164
145,139,158
170,163,202
80,76,89
77,72,55
173,164,216
69,63,61
181,171,212
170,160,206
70,53,64
86,76,94
171,163,217
56,56,56
156,154,184
154,128,200
125,118,140
159,152,204
159,157,200
77,71,90
170,163,208
98,96,102
169,160,204
169,160,210
163,156,208
61,51,62
123,114,141
60,57,59
61,57,55
69,72,101
140,134,183
127,123,159
104,100,122
67,65,71
90,84,102
181,171,212
81,76,91
99,95,108
159,154,186
122,120,150
103,100,110
76,70,68
63,55,73
177,171,214
124,118,136
116,116,139
158,152,180
126,117,145
94,91,95
46,43,53
80,77,87
168,161,200
73,64,84
128,119,147
47,46,60
184,172,225
116,107,127
173,166,211
153,148,200
77,71,119
169,159,205
104,90,143
92,89,115
169,162,214
150,148,191
175,167,208
115,109,137
131,103,173
179,170,214
46,43,47
167,158,215
184,173,217
66,55,62
150,143,180
159,153,201
175,166,218
141,138,66
66,61,70
78,72,100
75,68,90
146,138,173
158,154,190
149,143,192
152,145,177
86,75,132
180,169,219
137,139,157
73,67,78
111,107,130
90,89,110
98,98,115
109,81,145
62,60,60
181,171,217
115,110,125
66,58,56
179,168,218
97,93,106
169,159,207
164,156,204
47,45,45
146,145,166
169,162,207
82,75,97
132,120,143
77,70,77
80,79,119
116,109,131
136,134,151
179,172,209
180,170,218
111,109,132
157,147,178
81,73,97
77,72,87
130,129,163
138,133,148
147,143,171
162,156,197
65,61,84
163,154,204
70,66,79
184,172,218
88,78,88
75,70,85
54,49,51
98,95,121
170,171,206
102,93,115
132,131,152
89,83,94
102,97,112
181,170,214
59,58,71
134,125,153
168,159,203
164,155,192
81,77,99
130,127,146
121,117,153
118,112,140
60,57,46
88,85,111
170,162,210
175,166,203
94,93,76
54,44,21
59,52,61
114,105,125
143,145,176
141,141,158
161,156,201
161,154,191
79,72,94
72,65,74
184,169,214
74,70,83
162,159,198
135,127,162
182,172,213
128,125,157
59,50,57
155,152,192
184,171,221
116,112,148
119,114,153
51,45,43
183,173,214
178,169,221
141,131,149
130,128,151
164,152,198
82,76,81
144,139,165
111,111,141
95,90,135
136,127,149
155,149,190
96,90,103
163,164,185
157,154,180
170,164,207
179,168,218
128,117,150
73,71,64
154,148,189
122,116,134
134,124,155
137,136,150
171,164,203
160,159,199
179,168,218
159,154,186
148,137,181
178,169,213
176,167,211
128,127,146
180,170,216
113,108,123
60,51,58
74,67,82
81,78,88
89,88,101
72,69,88
163,156,201
112,104,122
183,174,226
97,96,117
180,170,211
173,165,206
149,141,165
92,90,113
50,47,57
158,152,193
63,59,89
74,57,119
73,58,62
145,145,176
96,93,127
168,161,213
87,75,111
131,131,148
77,70,115
138,131,162
179,169,215
68,57,63
79,75,105
51,47,47
68,60,101
69,56,68
89,85,98
161,156,201
161,158,205
149,144,196
162,155,186
142,137,163
159,157,193
73,67,52
153,147,195
64,53,60
146,146,177
58,54,60
202,187,227
118,118,148
105,104,108
109,105,118
139,133,168
170,165,204
70,66,79
181,168,217
180,170,218
46,43,52
152,152,190
44,38,51
65,61,74
145,141,169
171,163,204
161,155,204
202,187,232
172,163,207
149,143,171
146,143,175
175,168,213
161,153,201
134,106,176
89,86,120
97,91,119
165,158,197
53,46,47
156,153,187
88,84,112
86,79,111
143,130,179
151,147,177
174,165,217
139,128,155
172,165,217
134,132,162
103,99,122
87,83,96
126,118,142
131,128,160
142,129,169
170,164,205
173,166,211
170,162,203
176,171,216
93,88,103
150,147,187
139,129,160
158,154,190
69,64,79
110,105,131
85,81,117
77,59,59
162,157,196
111,104,143
157,156,190
98,93,108
125,118,140
128,126,143
162,156,212
166,160,209
119,113,131
65,56,63
102,98,120
151,142,186
158,155,194
124,122,158
121,111,151
128,122,150
73,68,107
104,96,120
185,175,223
122,119,158
49,42,49
176,166,214
157,152,197
143,141,164
182,168,221
133,129,157
80,71,98
74,68,53
98,91,106
66,59,47
79,68,74
181,170,214
134,132,176
77,74,100
113,107,126
135,129,148
48,39,40
166,158,206
85,75,99
153,144,188
89,82,91
174,167,212
145,140,179
166,160,195
50,47,49
64,60,66
164,157,209
160,154,195
86,82,95
80,80,81
105,91,127
142,143,170
134,129,161
66,62,75
84,81,91
143,134,178
184,170,223
97,87,128
107,95,131
174,163,213
163,157,200
135,132,158
143,136,175
154,151,177
43,40,42
164,159,191
81,76,91
169,160,212
133,129,157
151,144,176
68,60,71
147,141,184
143,137,156
52,45,46
164,160,222
156,157,199
172,162,210
165,156,193
155,155,193
80,74,93
179,171,219
179,168,218
120,119,159
160,150,190
126,110,159
155,156,196
60,57,66
76,71,86
115,114,135
155,154,194
164,158,206
150,143,182
114,104,135
146,138,162
109,94,132
66,59,61
59,51,49
153,148,187
175,166,210
141,125,189
79,73,101
71,70,84
147,143,166
161,155,204
63,62,66
129,124,150
53,46,53
92,89,115
173,161,207
125,121,143
75,63,66
95,89,108
92,86,105
168,161,206
169,154,194
139,139,164
143,137,165
137,128,155
48,42,40
56,52,52
180,170,218
49,45,43
99,95,117
175,166,210
178,168,209
170,161,213
152,149,181
69,66,92
147,144,183
51,49,49
161,156,188
142,140,163
54,47,62
129,123,151
98,95,114
184,172,225
173,163,209
120,114,132
72,68,81
169,159,200
68,59,79
178,168,214
71,68,87
161,158,190
167,165,195
106,97,124
85,76,103
161,157,200
60,58,64
151,148,188
184,173,223
154,155,189
86,82,104
94,91,123
145,146,173
95,91,104
101,102,123
117,111,130
86,82,104
74,73,57
161,162,204
139,142,171
177,169,217
138,142,175
154,142,178
139,141,159
79,70,114
163,156,201
157,152,197
70,68,68
143,141,177
32,30,36
168,163,215
139,132,154
151,146,204
156,152,201
183,171,217
148,139,176
160,157,197
177,167,213
73,70,72
55,54,51
150,142,196
124,117,124
161,153,201
179,169,215
114,108,126
87,81,94
156,156,187
115,110,112
105,105,143
147,151,176
140,134,169
72,70,87
119,113,154
45,40,42
127,123,136
130,124,143
82,76,61
152,146,189
142,138,161
165,157,211
117,114,124
133,132,145
80,76,89
134,128,163
74,68,87
176,166,207
142,133,170
121,113,137
63,60,36
149,144,189
125,124,145
77,71,90
103,97,116
94,87,109
48,43,52
56,57,78
144,141,181
161,157,187
170,161,205
177,168,212
140,140,157
117,107,125
131,123,158
160,155,194
153,138,193
162,157,202
147,137,168
157,151,194
112,102,118
55,49,84
118,109,146
51,51,51
140,144,170
101,94,116
157,150,189
71,67,67
80,77,79
56,56,57
98,92,103
163,155,203
144,141,181
88,83,115
174,160,202
152,147,192
181,169,215
149,128,192
161,164,199
163,155,190
142,141,168
175,169,212
153,149,185
171,158,198
146,142,155
139,136,168
124,123,137
167,160,197
104,108,56
156,153,185
77,71,89
126,125,139
115,118,62
71,67,95
138,134,162
180,170,218
114,110,146
170,163,208
93,86,101
51,43,41
58,49,63
149,145,175
150,143,174
120,112,147
133,129,159
151,148,188
186,174,227
165,152,201
86,82,95
142,139,173
130,119,152
84,78,97
113,113,151
138,124,177
104,98,116
88,83,98
165,156,200
169,162,214
45,43,43
65,62,66
174,167,206
54,48,66
77,70,71
95,89,100
115,113,130
95,91,114
40,33,40
75,62,119
157,153,196
163,157,200
150,156,189
73,67,85
101,95,114
89,69,63
180,170,216
69,66,92
76,71,86
181,171,217
87,84,86
84,79,111
166,162,198
121,117,139
47,34,33
171,165,206
47,39,37
77,72,87
137,142,164
175,166,210
141,136,181
111,110,129
161,154,186
85,82,101
52,49,59
141,141,158
172,166,207
208,192,234
185,170,216
143,136,158
175,166,210
75,70,85
97,93,106
127,124,143
102,98,128
57,50,51
108,97,124
67,62,77
132,123,180
69,60,67
155,150,195
96,95,99
169,160,210
183,174,224
106,97,117
164,157,196
127,115,144
141,138,178
135,131,159
87,83,105
149,145,175
74,62,72
160,151,179
154,148,197
128,123,155
92,84,89
125,121,143
160,159,199
146,143,183
99,86,98
116,111,143
