B,G,R
133,136,157
136,133,159
125,127,145
146,145,172
150,143,175
70,62,86
148,147,174
150,146,176
140,140,165
164,157,188
172,163,207
153,150,182
130,116,158
134,133,152
158,155,189
107,95,141
138,134,162
142,138,168
128,131,147
134,131,170
132,124,165
145,146,173
139,137,160
148,144,174
50,45,54
144,140,163
147,142,174
140,137,171
154,146,181
154,154,185
155,151,181
128,127,146
133,128,143
152,148,184
99,96,128
131,131,162
129,129,146
129,132,154
123,114,158
156,156,187
136,135,156
129,129,146
133,132,153
139,137,167
155,153,189
159,152,191
153,145,186
153,145,180
157,151,186
145,140,172
159,154,186
132,128,164
152,150,180
152,151,185
118,108,139
130,132,150
123,126,142
152,146,181
152,148,184
137,133,155
188,174,216
155,150,176
141,137,167
143,136,158
157,151,186
117,115,138
116,108,149
155,149,184
128,128,158
140,133,172
123,124,132
115,113,136
164,158,193
155,155,186
141,142,163
156,155,189
157,151,186
140,128,165
107,101,129
176,167,204
124,120,142
114,106,147
70,67,93
143,136,167
159,149,180
86,82,112
156,152,188
152,145,184
150,148,171
154,151,185
131,119,148
125,126,153
174,166,207
117,113,141
156,152,182
159,153,188
111,109,139
143,140,174
169,166,200
157,152,184
88,87,121
163,157,192
142,141,175
140,141,98
144,140,170
158,151,188
155,149,184
147,145,168
143,142,176
145,143,179
149,150,184
112,114,119
149,141,176
155,152,186
145,143,179
153,148,174
149,145,175
164,156,191
150,147,181
150,144,179
149,145,173
135,136,170
153,146,183
141,140,174
130,121,143
138,138,163
136,139,168
128,123,162
134,125,152
151,150,184
132,129,161
135,134,155
149,149,187
146,141,173
147,144,176
139,137,154
124,126,144
139,141,166
150,148,178
129,131,149
138,136,159
42,36,41
163,157,198
145,144,171
52,45,52
141,134,166
116,107,135
166,163,197
145,144,184
124,127,135
144,140,170
104,107,136
139,135,165
148,146,176
148,144,180
119,122,130
122,125,139
101,101,139
156,152,182
162,159,193
142,140,163
142,140,163
125,129,154
165,161,197
187,173,215
126,123,142
109,103,131
134,115,173
78,79,106
144,142,178
152,153,187
75,68,90
145,142,182
182,170,207
125,125,150
155,152,186
114,107,144
112,108,138
133,135,160
145,142,181
129,120,147
141,137,165
154,155,189
150,144,187
120,113,150
156,150,178
155,152,184
142,142,167
74,76,80
157,153,189
154,151,183
128,128,151
130,132,106
134,132,155
131,131,148
149,148,182
129,131,149
130,132,150
136,126,157
142,143,170
120,111,163
164,154,195
151,147,170
155,149,190
140,140,163
133,129,151
135,133,150
153,150,182
147,140,162
131,130,143
97,97,120
135,129,157
125,129,160
107,105,122
92,89,128
142,137,169
129,128,155
148,139,166
134,139,168
131,126,158
139,137,167
129,131,143
93,86,117
144,144,175
144,142,165
113,111,141
155,152,186
146,142,164
131,128,162
139,137,167
138,139,166
134,136,167
138,134,162
139,135,165
142,139,171
164,158,201
155,146,173
132,134,152
149,147,183
134,134,157
136,137,171
149,149,180
158,157,191
142,141,168
125,124,143
156,154,184
57,48,62
112,112,137
153,153,184
184,169,214
139,139,162
129,130,138
128,128,145
156,152,188
129,132,153
138,134,156
123,125,135
134,131,150
144,141,175
136,116,176
132,128,156
143,141,171
87,88,123
124,122,139
178,171,208
131,130,157
150,142,177
137,137,147
140,137,171
158,155,189
125,128,144
111,111,149
123,123,148
140,140,171
116,111,150
127,125,142
130,133,104
134,134,121
158,155,189
155,147,182
133,132,151
131,134,150
159,153,188
149,146,178
85,82,114
127,117,171
143,140,166
133,132,151
140,139,166
149,144,176
165,159,194
157,150,181
134,127,149
167,159,200
128,130,148
129,131,143
80,64,128
135,133,163
151,144,175
123,123,133
150,148,171
129,127,144
128,124,152
156,148,189
140,140,165
148,141,173
146,147,181
137,138,165
77,72,111
155,152,186
161,154,185
186,172,214
150,147,181
145,143,173
159,152,191
153,150,182
133,130,149
153,147,175
142,138,166
145,146,180
157,149,184
109,109,147
140,141,168
164,159,191
84,83,117
138,138,169
127,131,156
111,107,130
129,117,154
154,149,188
167,163,193
148,143,182
135,137,155
157,152,184
130,118,155
161,157,187
161,155,190
147,143,171
111,106,132
135,134,153
157,150,189
143,147,173
119,122,138
139,138,165
134,134,159
132,134,152
149,145,175
122,123,150
143,143,168
133,130,149
162,159,191
138,128,152
158,151,183
141,141,171
140,138,168
144,138,173
138,134,164
145,139,167
130,116,158
151,151,181
